wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
61.12,82,0.0123,0.0202,1.002,1.002,59.8,0.0167,1.0000,1.00,400,0,54.76,1,1
62.13,79,0.0128,0.0149,0.997,0.997,60.2,0.0167,1.0000,1.00,400,0,55.77,1,1
63.14,80,0.0126,0.0154,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,56.77,1,1
64.15,81,0.0125,0.0135,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,57.78,1,1
65.15,81,0.0124,0.0139,1.002,1.002,59.8,0.0167,1.0000,1.00,400,0,58.79,1,1
66.16,81,0.0125,0.0161,0.998,0.998,60.4,0.0167,1.0000,1.00,400,0,59.80,1,1
67.18,84,0.0121,0.0139,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,60.81,1,1
68.18,80,0.0125,0.0142,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,61.81,1,1
69.19,80,0.0126,0.0140,1.001,1.001,59.6,0.0167,1.0000,1.00,400,0,62.82,1,1
70.19,78,0.0129,0.0150,0.999,0.999,60.7,0.0167,1.0000,1.00,400,0,63.83,1,1
71.20,79,0.0127,0.0167,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,64.83,1,1
72.21,76,0.0133,0.0745,1.001,1.001,60.6,0.0167,1.0000,1.00,400,0,65.84,1,1
73.21,84,0.0120,0.0134,1.000,1.000,59.5,0.0167,1.0000,1.00,400,0,66.85,1,1
74.22,85,0.0118,0.0141,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,67.85,1,1
75.22,88,0.0114,0.0160,0.999,0.999,60.6,0.0167,1.0000,1.00,400,0,68.86,1,1
76.22,85,0.0118,0.0131,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,69.86,1,1
77.23,85,0.0118,0.0141,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,70.87,1,1
78.24,86,0.0117,0.0135,1.001,1.001,60.5,0.0167,1.0000,1.00,400,0,71.87,1,1
79.24,85,0.0118,0.0146,0.999,0.999,59.6,0.0167,1.0000,1.00,400,0,72.88,1,1
80.25,86,0.0117,0.0133,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,73.89,1,1
81.25,85,0.0118,0.0138,0.999,0.999,60.7,0.0167,1.0000,1.00,400,0,74.89,1,1
82.26,86,0.0117,0.0134,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,75.90,1,1
83.26,85,0.0118,0.0143,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,76.90,1,1
84.27,86,0.0117,0.0141,0.998,0.998,60.4,0.0167,1.0000,1.00,400,0,77.91,1,1
85.28,84,0.0120,0.0144,1.001,1.001,59.5,0.0167,1.0000,1.00,400,0,78.92,1,1
86.29,85,0.0118,0.0135,0.999,0.999,60.7,0.0167,1.0000,1.00,400,0,79.92,1,1
87.29,81,0.0124,0.0213,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,80.93,1,1
88.30,78,0.0129,0.0148,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,81.93,1,1
89.31,72,0.0140,0.0354,0.995,0.995,60.2,0.0167,1.0000,1.00,400,0,82.94,1,1
90.42,71,0.0155,0.1350,0.995,0.995,59.6,0.0167,1.0000,1.00,400,0,84.04,1,1
91.42,56,0.0181,0.1598,1.011,1.011,60.7,0.0167,1.0000,1.00,400,0,85.06,1,1
101.57,39,0.0148,0.0771,0.057,0.057,3.4,0.0167,1.0000,1.00,400,0,85.63,1,1
102.60,28,0.0175,0.0594,0.479,10.334,27.3,0.0167,1.0000,1.00,400,0,86.11,1,1
103.61,86,0.0117,0.0553,1.003,1.003,60.5,0.0167,1.0000,1.00,400,0,87.12,1,1
104.61,107,0.0094,0.0130,1.001,1.001,59.9,0.0167,1.0000,1.00,400,0,88.13,1,1
105.61,106,0.0095,0.0127,0.998,0.998,60.6,0.0167,1.0000,1.00,400,0,89.13,1,1
106.62,121,0.0083,0.0120,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,90.14,1,1
107.62,122,0.0082,0.0109,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,91.14,1,1
108.62,119,0.0084,0.0106,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,92.14,1,1
109.62,123,0.0082,0.0142,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,93.15,1,1
110.67,69,0.0151,0.0550,0.997,0.997,60.4,0.0167,1.0000,1.00,400,0,94.18,1,1
111.71,32,0.0324,0.0562,0.999,0.999,59.8,0.0167,1.0000,1.00,400,0,95.22,1,1
