wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time
1056.34,44,0.0230,0.0714,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,590.16
1057.34,32,0.0247,0.1667,0.001,0.001,0.0,0.0167,0.1667,1.00,400,0,590.95
1058.35,54,0.0189,0.0361,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,591.97
1059.36,57,0.0178,0.0382,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,592.99
1060.37,59,0.0171,0.0285,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,594.00
1061.38,58,0.0174,0.0283,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,595.00
1062.39,56,0.0180,0.0363,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,596.02
1063.40,58,0.0174,0.0350,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,597.03
1064.41,56,0.0180,0.0353,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,598.03
1065.41,54,0.0186,0.0734,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,599.04
1066.43,52,0.0195,0.0924,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,600.05
1067.45,51,0.0200,0.0376,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,601.07
1068.46,56,0.0181,0.0365,0.001,0.001,0.1,0.0167,0.1667,1.00,400,0,602.09
1.31,2,0.0200,0.0200,0.030,4.309,1.5,0.0167,0.1667,1.00,400,0,0.02
2.32,145,0.0053,0.1667,0.331,0.443,19.9,0.0167,0.1667,1.00,400,0,0.79
3.32,255,0.0039,0.0054,0.302,0.302,18.1,0.0167,0.1667,1.00,400,0,1.79
4.32,255,0.0039,0.0057,0.232,0.232,13.9,0.0167,0.1667,1.00,400,0,2.79
5.32,242,0.0041,0.0133,0.188,0.188,11.3,0.0167,0.1667,1.00,400,0,3.79
6.33,260,0.0039,0.0056,0.158,0.158,9.5,0.0167,0.1667,1.00,400,0,4.80
7.33,234,0.0043,0.0554,0.137,0.137,8.3,0.0167,0.1667,1.00,400,0,5.80
8.33,264,0.0038,0.0053,0.120,0.120,7.2,0.0167,0.1667,1.00,400,0,6.80
9.33,263,0.0038,0.0054,0.108,0.108,6.4,0.0167,0.1667,1.00,400,0,7.80
10.34,270,0.0037,0.0049,0.097,0.097,5.8,0.0167,0.1667,1.00,400,0,8.81
11.34,272,0.0037,0.0049,0.088,0.088,5.3,0.0167,0.1667,1.00,400,0,9.81
13.14,193,0.0037,0.0050,0.054,0.054,3.3,0.0167,0.1667,1.00,400,0,10.52
14.15,74,0.0108,0.0215,0.056,0.149,3.4,0.0167,0.1667,1.00,400,0,11.31
15.16,99,0.0102,0.0129,0.066,0.066,4.0,0.0167,0.1667,1.00,400,0,12.32
16.16,98,0.0103,0.0132,0.062,0.062,3.7,0.0167,0.1667,1.00,400,0,13.33
17.17,99,0.0101,0.0129,0.058,0.058,3.6,0.0167,0.1667,1.00,400,0,14.33
18.17,98,0.0103,0.0130,0.055,0.055,3.3,0.0167,0.1667,1.00,400,0,15.34
19.18,98,0.0103,0.0135,0.052,0.052,3.1,0.0167,0.1667,1.00,400,0,16.34
20.19,97,0.0104,0.0143,0.050,0.050,3.0,0.0167,0.1667,1.00,400,0,17.35
21.19,96,0.0104,0.0136,0.047,0.047,2.8,0.0167,0.1667,1.00,400,0,18.35
22.19,96,0.0105,0.0134,0.045,0.045,2.7,0.0167,0.1667,1.00,400,0,19.36
23.23,90,0.0109,0.0320,0.042,0.042,2.5,0.0167,0.1667,1.00,400,0,20.34
24.23,80,0.0132,0.0970,0.044,0.044,2.6,0.0167,0.1667,1.00,400,0,21.40
25.24,94,0.0107,0.0151,0.040,0.040,2.4,0.0167,0.1667,1.00,400,0,22.40
26.25,93,0.0109,0.0276,0.039,0.039,2.3,0.0167,0.1667,1.00,400,0,23.41
27.26,73,0.0139,0.1469,0.037,0.037,2.2,0.0167,0.1667,1.00,400,0,24.42
28.27,81,0.0124,0.0501,0.036,0.036,2.1,0.0167,0.1667,1.00,400,0,25.43
29.27,90,0.0111,0.0147,0.034,0.034,2.1,0.0167,0.1667,1.00,400,0,26.43
30.27,89,0.0113,0.0160,0.033,0.033,2.0,0.0167,0.1667,1.00,400,0,27.44
31.28,94,0.0107,0.0140,0.032,0.032,2.0,0.0167,0.1667,1.00,400,0,28.44
32.28,70,0.0144,0.0538,0.031,0.031,1.9,0.0167,0.1667,1.00,400,0,29.45
33.29,92,0.0110,0.0138,0.030,0.030,1.8,0.0167,0.1667,1.00,400,0,30.46
34.30,79,0.0128,0.0398,0.029,0.029,1.7,0.0167,0.1667,1.00,400,0,31.47
35.31,87,0.0116,0.0166,0.029,0.029,1.7,0.0167,0.1667,1.00,400,0,32.48
36.32,88,0.0114,0.0145,0.028,0.028,1.7,0.0167,0.1667,1.00,400,0,33.48
37.32,89,0.0113,0.0143,0.027,0.027,1.6,0.0167,0.1667,1.00,400,0,34.48
38.33,89,0.0113,0.0144,0.026,0.026,1.6,0.0167,0.1667,1.00,400,0,35.49
39.34,89,0.0114,0.0146,0.026,0.026,1.5,0.0167,0.1667,1.00,400,0,36.50
40.34,82,0.0122,0.0262,0.025,0.025,1.5,0.0167,0.1667,1.00,400,0,37.50
41.35,82,0.0123,0.0697,0.024,0.024,1.5,0.0167,0.1667,1.00,400,0,38.51
42.36,89,0.0113,0.0155,0.024,0.024,1.4,0.0167,0.1667,1.00,400,0,39.52
43.37,87,0.0116,0.0144,0.023,0.023,1.4,0.0167,0.1667,1.00,400,0,40.54
44.38,87,0.0115,0.0138,0.023,0.023,1.4,0.0167,0.1667,1.00,400,0,41.54
45.39,87,0.0117,0.0216,0.022,0.022,1.3,0.0167,0.1667,1.00,400,0,42.55
46.40,88,0.0115,0.0144,0.022,0.022,1.3,0.0167,0.1667,1.00,400,0,43.56
47.40,86,0.0117,0.0206,0.021,0.021,1.3,0.0167,0.1667,1.00,400,0,44.57
48.41,87,0.0116,0.0167,0.021,0.021,1.2,0.0167,0.1667,1.00,400,0,45.57
49.41,87,0.0115,0.0147,0.020,0.020,1.2,0.0167,0.1667,1.00,400,0,46.58
50.43,86,0.0118,0.0158,0.020,0.020,1.2,0.0167,0.1667,1.00,400,0,47.59
51.43,66,0.0153,0.0684,0.020,0.020,1.2,0.0167,0.1667,1.00,400,0,48.60
52.44,79,0.0127,0.0442,0.019,0.019,1.1,0.0167,0.1667,1.00,400,0,49.60
53.45,87,0.0116,0.0150,0.019,0.019,1.1,0.0167,0.1667,1.00,400,0,50.61
54.46,86,0.0117,0.0155,0.019,0.019,1.1,0.0167,0.1667,1.00,400,0,51.62
55.47,83,0.0122,0.0503,0.018,0.018,1.1,0.0167,0.1667,1.00,400,0,52.63
56.48,63,0.0160,0.0542,0.018,0.018,1.1,0.0167,0.1667,1.00,400,0,53.64
57.48,80,0.0126,0.0157,0.018,0.018,1.1,0.0167,0.1667,1.00,400,0,54.65
58.48,79,0.0127,0.0168,0.017,0.017,1.0,0.0167,0.1667,1.00,400,0,55.65
59.49,82,0.0123,0.0156,0.017,0.017,1.0,0.0167,0.1667,1.00,400,0,56.66
60.50,79,0.0127,0.0252,0.017,0.017,1.0,0.0167,0.1667,1.00,400,0,57.66
61.51,80,0.0126,0.0276,0.016,0.016,1.0,0.0167,0.1667,1.00,400,0,58.67
62.52,81,0.0126,0.0173,0.016,0.016,1.0,0.0167,0.1667,1.00,400,0,59.69
63.53,79,0.0127,0.0167,0.016,0.016,0.9,0.0167,0.1667,1.00,400,0,60.69
64.54,79,0.0128,0.0169,0.016,0.016,0.9,0.0167,0.1667,1.00,400,0,61.70
65.55,81,0.0125,0.0166,0.015,0.015,0.9,0.0167,0.1667,1.00,400,0,62.71
66.56,81,0.0125,0.0187,0.015,0.015,0.9,0.0167,0.1667,1.00,400,0,63.72
67.57,80,0.0126,0.0176,0.015,0.015,0.9,0.0167,0.1667,1.00,400,0,64.73
68.57,80,0.0125,0.0165,0.015,0.015,0.9,0.0167,0.1667,1.00,400,0,65.73
69.58,81,0.0125,0.0157,0.015,0.015,0.9,0.0167,0.1667,1.00,400,0,66.74
70.59,81,0.0125,0.0158,0.014,0.014,0.9,0.0167,0.1667,1.00,400,0,67.76
71.60,80,0.0126,0.0185,0.014,0.014,0.8,0.0167,0.1667,1.00,400,0,68.76
72.61,81,0.0124,0.0152,0.014,0.014,0.8,0.0167,0.1667,1.00,400,0,69.77
73.61,80,0.0126,0.0171,0.014,0.014,0.8,0.0167,0.1667,1.00,400,0,70.78
74.62,81,0.0124,0.0179,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,71.78
75.63,52,0.0195,0.0789,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,72.79
76.63,65,0.0155,0.0226,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,73.80
77.65,65,0.0157,0.0712,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,74.82
78.66,47,0.0215,0.0671,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,75.82
79.67,60,0.0168,0.0518,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,76.83
80.69,79,0.0128,0.0259,0.013,0.013,0.8,0.0167,0.1667,1.00,400,0,77.85
81.70,80,0.0126,0.0157,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,78.86
82.71,79,0.0128,0.0159,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,79.87
83.71,78,0.0129,0.0207,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,80.87
84.71,74,0.0135,0.0182,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,81.87
85.71,76,0.0132,0.0168,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,82.88
86.72,72,0.0140,0.0200,0.012,0.012,0.7,0.0167,0.1667,1.00,400,0,83.88
87.73,68,0.0148,0.0209,0.011,0.011,0.7,0.0167,0.1667,1.00,400,0,84.89
88.73,76,0.0133,0.0170,0.011,0.011,0.7,0.0167,0.1667,1.00,400,0,85.90
89.74,78,0.0129,0.0182,0.011,0.011,0.7,0.0167,0.1667,1.00,400,0,86.90
90.75,76,0.0133,0.0198,0.011,0.011,0.7,0.0167,0.1667,1.00,400,0,87.91
91.75,75,0.0134,0.0187,0.011,0.011,0.7,0.0167,0.1667,1.00,400,0,88.92
92.76,75,0.0134,0.0178,0.011,0.011,0.6,0.0167,0.1667,1.00,400,0,89.93
93.76,62,0.0162,0.1447,0.011,0.011,0.6,0.0167,0.1667,1.00,400,0,90.93
94.77,75,0.0134,0.0166,0.011,0.011,0.6,0.0167,0.1667,1.00,400,0,91.93
95.78,77,0.0131,0.0188,0.011,0.011,0.6,0.0167,0.1667,1.00,400,0,92.94
96.78,74,0.0135,0.0178,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,93.95
97.78,75,0.0134,0.0242,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,94.95
98.79,75,0.0134,0.0167,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,95.95
99.79,75,0.0134,0.0245,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,96.96
100.80,77,0.0131,0.0175,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,97.97
101.81,77,0.0131,0.0181,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,98.97
102.82,77,0.0131,0.0175,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,99.99
103.83,76,0.0133,0.0170,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,100.99
104.84,76,0.0132,0.0163,0.010,0.010,0.6,0.0167,0.1667,1.00,400,0,102.00
105.84,77,0.0131,0.0161,0.009,0.009,0.6,0.0167,0.1667,1.00,400,0,103.00
106.84,76,0.0132,0.0170,0.009,0.009,0.6,0.0167,0.1667,1.00,400,0,104.00
107.85,77,0.0131,0.0176,0.009,0.009,0.6,0.0167,0.1667,1.00,400,0,105.02
108.86,75,0.0134,0.0170,0.009,0.009,0.6,0.0167,0.1667,1.00,400,0,106.02
109.86,76,0.0132,0.0176,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,107.02
110.90,49,0.0213,0.0831,0.009,0.009,0.6,0.0167,0.1667,1.00,400,0,108.07
111.91,39,0.0259,0.0777,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,109.08
112.92,75,0.0135,0.0184,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,110.09
113.93,76,0.0132,0.0166,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,111.09
114.94,75,0.0135,0.0181,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,112.10
115.95,76,0.0133,0.0177,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,113.11
116.96,75,0.0134,0.0172,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,114.12
117.97,75,0.0135,0.0178,0.009,0.009,0.5,0.0167,0.1667,1.00,400,0,115.13
118.98,75,0.0134,0.0173,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,116.14
119.98,76,0.0132,0.0193,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,117.14
120.98,40,0.0251,0.0761,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,118.15
122.00,58,0.0175,0.0240,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,119.16
123.00,57,0.0176,0.0247,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,120.17
124.01,58,0.0173,0.0230,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,121.17
125.03,56,0.0178,0.0258,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,122.16
126.03,58,0.0178,0.0345,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,123.20
127.04,56,0.0180,0.0596,0.008,0.008,0.5,0.0167,0.1667,1.00,400,0,124.21
